,Country Name,2005,2006,2007,2008,2009,2010
0,Afghanistan,16.25209090909091,15.595583333333332,15.106166666666669,15.216500000000002,15.257749999999996,15.828666666666669
1,Africa,25.518909090909094,24.818916666666667,24.851499999999998,24.75466666666667,25.0265,25.4725
2,Albania,13.592636363636364,12.976916666666668,13.890500000000001,13.955166666666665,13.84425,13.775416666666667
3,Algeria,25.447545454545455,24.200833333333335,24.06533333333334,23.95025,24.15433333333333,25.215666666666664
4,American Samoa,27.337909090909093,27.08125,27.452416666666664,26.995083333333337,27.034249999999997,27.453416666666666
5,Andorra,12.368181818181819,12.834333333333333,12.15525,11.978583333333333,12.566666666666665,11.480833333333335
6,Angola,22.957636363636365,21.947083333333335,22.42708333333334,22.287333333333333,22.3165,22.6815
7,Anguilla,27.95072727272727,27.636250000000004,27.68508333333334,27.140416666666667,27.46858333333333,27.855999999999998
8,Antarctica,,,,,,
9,Antigua And Barbuda,27.802545454545456,27.46641666666667,27.509083333333336,26.96541666666667,27.277333333333335,27.73541666666667
10,Argentina,14.491090909090907,15.561083333333329,14.628083333333336,15.475999999999999,15.534416666666667,15.078833333333336
11,Armenia,11.002818181818181,10.053500000000001,9.53525,9.706750000000001,9.842083333333333,11.509500000000003
12,Aruba,28.943454545454543,28.804666666666666,28.82283333333333,28.45025,28.832000000000004,28.968333333333334
13,Asia,9.97209090909091,8.406916666666667,9.100666666666667,8.764999999999999,8.442333333333336,8.575583333333334
14,Australia,22.382636363636365,22.264416666666666,22.48675,22.225916666666667,22.690583333333333,22.078166666666664
15,Austria,7.462636363636364,7.277583333333335,7.976500000000001,7.801916666666668,7.616,6.6490833333333335
16,Azerbaijan,13.737272727272726,12.71225,12.51483333333333,12.365499999999999,12.611666666666665,13.962666666666665
17,Bahamas,26.143181818181823,25.715750000000003,26.034750000000003,25.899749999999997,25.769166666666667,25.22916666666667
18,Bahrain,28.019545454545458,27.22125,27.216083333333334,27.033083333333334,27.310333333333336,28.069666666666667
19,Baker Island,26.149545454545457,26.16025,26.077583333333337,25.765499999999992,26.210416666666664,26.205249999999996
20,Bangladesh,26.158636363636365,25.76566666666667,25.34375,25.3895,25.904916666666665,25.94033333333333
21,Barbados,27.834,27.502250000000004,27.36641666666667,27.003833333333336,27.320333333333334,27.84466666666667
22,Belarus,7.727363636363637,6.992083333333333,7.928166666666667,8.13075,7.196416666666668,7.037250000000001
23,Belgium,11.327090909090908,11.09525,11.1455,10.504916666666666,10.628499999999999,9.361749999999999
24,Belize,26.226727272727274,25.7085,25.85875,25.524666666666672,25.907749999999997,25.50233333333333
25,Benin,28.301000000000002,28.144333333333336,28.0705,27.690916666666666,28.15608333333333,28.325583333333338
26,Bhutan,13.175181818181818,12.854,12.6995,12.456333333333333,13.114749999999999,12.947250000000002
27,Bolivia,21.203818181818182,21.470000000000002,21.12933333333333,21.189000000000004,21.37833333333333,21.446416666666664
28,"Bonaire, Saint Eustatius And Saba",28.271818181818183,28.08016666666667,28.13575,27.78033333333333,28.13916666666667,28.370583333333332
29,Bosnia And Herzegovina,11.219272727272728,11.07125,12.001750000000001,12.056666666666667,11.860666666666667,11.271416666666667
30,Botswana,22.999727272727274,21.804000000000002,22.400499999999997,22.311166666666665,22.139750000000003,22.730166666666662
31,Brazil,25.744181818181822,25.516999999999996,25.668000000000003,25.41033333333333,25.600583333333333,25.812416666666667
32,British Virgin Islands,27.64872727272727,27.37483333333334,27.47,26.924000000000003,27.2385,27.593666666666664
33,Bulgaria,11.591363636363637,11.117583333333334,12.314000000000002,11.98775,11.894,11.766333333333334
